stim_type,target_talker,target_sentence,target_alt_rate,target_init_position,masker1_talker,masker1_sentence,masker1_alt_rate,masker1_init_position,masker2_talker,masker2_sentence,masker2_alt_rate,masker2_init_position
SOS,11M,Sue found six hot bags,4.0,-90.0,9M,Jane took two new toys,4.0,-90.0,4M,Jill sold nine green pens,4.0,90.0
SOS,1M,Sue took eight cheap toys,4.0,90.0,4M,Jane saw three old shoes,4.0,90.0,10M,Jill held six big cards,4.0,-90.0
SOS,8M,Sue sold six hot pens,4.0,90.0,2M,Bob found three green cards,4.0,90.0,1M,Mike bought four old toys,4.0,-90.0
SOS,11M,Sue took six green bags,4.0,-90.0,10M,Mike found ten small pens,4.0,-90.0,2M,Sam bought four hot gloves,4.0,90.0
SOS,3M,Sue gave eight new cards,4.0,-90.0,2M,Mike held five red shoes,4.0,-90.0,7M,Jane saw nine hot pens,4.0,90.0
SOS,7M,Sue bought nine big shoes,4.0,90.0,9M,Jane took four red cards,4.0,90.0,8M,Lynn found eight green hats,4.0,-90.0
SOS,3M,Sue held nine cheap bags,4.0,-90.0,8M,Jane lost eight green pens,4.0,-90.0,10M,Sam bought two new toys,4.0,90.0
SOS,4M,Sue sold nine small gloves,0.5,90.0,11M,Mike held two big toys,0.5,90.0,9M,Jill lost eight new socks,0.5,-90.0
SOS,2M,Sue sold three hot pens,0.5,-90.0,5M,Lynn took ten small toys,0.5,-90.0,7M,Mike held six old shoes,0.5,90.0
SOS,10M,Sue held five green bags,0.5,-90.0,5M,Bob bought six small shoes,0.5,-90.0,2M,Jane sold nine new socks,0.5,90.0
SOS,9M,Sue saw nine hot toys,0.5,90.0,2M,Jill bought eight big hats,0.5,90.0,11M,Pat took ten green pens,0.5,-90.0
SOS,4M,Sue bought five new gloves,0.5,90.0,1M,Jill held six hot socks,0.5,90.0,9M,Sam saw three small hats,0.5,-90.0
SOS,3M,Sue held eight new pens,0.5,90.0,7M,Jill gave nine green socks,0.5,90.0,1M,Sam bought four old toys,0.5,-90.0
SOS,10M,Sue saw six big shoes,0.5,90.0,1M,Jane sold five new pens,0.5,90.0,11M,Lynn bought eight cheap gloves,0.5,-90.0
SOS,5M,Sue gave two red hats,0.5,-90.0,8M,Pat took three hot bags,0.5,-90.0,1M,Jill sold six new shoes,0.5,90.0
SOS,4M,Sue held nine old bags,0.5,-90.0,11M,Jill found eight hot cards,0.5,-90.0,2M,Bob lost ten red toys,0.5,90.0
SOS,11M,Sue saw eight cheap bags,0.5,-90.0,3M,Jill gave four green shoes,0.5,-90.0,1M,Jane lost two new toys,0.5,90.0
SOS,5M,Sue bought three red socks,0.5,-90.0,2M,Jill sold four green toys,0.5,-90.0,9M,Lynn held two old pens,0.5,90.0
SOS,2M,Sue took four green pens,0.5,-90.0,7M,Mike found nine cheap bags,0.5,-90.0,1M,Pat saw six big gloves,0.5,90.0
SOS,8M,Sue held four red hats,0.5,-90.0,10M,Mike gave two small gloves,0.5,-90.0,4M,Jane bought six cheap toys,0.5,90.0
SOS,5M,Sue found two big toys,0.5,-90.0,1M,Pat sold six red hats,0.5,-90.0,11M,Bob bought four cheap gloves,0.5,90.0
SOS,11M,Sue held two red bags,0.5,90.0,8M,Pat gave ten green gloves,0.5,90.0,9M,Lynn saw four hot hats,0.5,-90.0
SOS,8M,Sue lost five red pens,0.5,90.0,11M,Bob sold six new toys,0.5,90.0,5M,Jane found eight old shoes,0.5,-90.0
SOS,9M,Sue took three hot toys,0.5,-90.0,11M,Bob sold nine old hats,0.5,-90.0,7M,Jill found four green pens,0.5,90.0
SOS,11M,Sue gave eight red socks,0.5,90.0,8M,Lynn held two small cards,0.5,90.0,9M,Mike saw four big hats,0.5,-90.0
SOS,4M,Sue found nine red cards,0.5,-90.0,7M,Bob took four big pens,0.5,-90.0,11M,Jane gave six new bags,0.5,90.0
SOS,5M,Sue bought ten red gloves,0.5,90.0,10M,Bob held six small cards,0.5,90.0,3M,Jane gave five new pens,0.5,-90.0
SOS,10M,Sue bought nine red hats,0.5,-90.0,9M,Sam sold six new toys,0.5,-90.0,11M,Jill took three small pens,0.5,90.0
SOS,10M,Sue gave eight green shoes,0.5,90.0,4M,Jane held ten hot cards,0.5,90.0,9M,Lynn found six old bags,0.5,-90.0
SOS,1M,Sue found eight small cards,0.5,-90.0,7M,Jane lost six green hats,0.5,-90.0,4M,Jill took five new toys,0.5,90.0
SOS,2M,Sue lost four old bags,0.5,-90.0,3M,Bob took eight hot toys,0.5,-90.0,8M,Sam gave six cheap socks,0.5,90.0
SOS,11M,Sue took six old cards,0.5,-90.0,4M,Jill bought four green toys,0.5,-90.0,8M,Bob gave five cheap gloves,0.5,90.0
SOS,5M,Sue sold six new hats,0.5,-90.0,1M,Jill took nine old cards,0.5,-90.0,3M,Pat lost five hot socks,0.5,90.0
SOS,10M,Sue found ten cheap shoes,0.5,-90.0,2M,Sam gave three big socks,0.5,-90.0,9M,Pat took two old toys,0.5,90.0
SOS,8M,Sue took five big toys,0.5,-90.0,9M,Jane lost two small shoes,0.5,-90.0,5M,Pat saw six hot hats,0.5,90.0
SOS,2M,Sue found two big hats,0.5,90.0,3M,Jane lost eight new pens,0.5,90.0,10M,Pat held six green bags,0.5,-90.0
SOS,8M,Sue gave four big shoes,0.5,-90.0,2M,Jane sold three hot socks,0.5,-90.0,9M,Pat bought nine old hats,0.5,90.0
SOS,2M,Sue saw two old cards,0.5,-90.0,3M,Mike lost ten big socks,0.5,-90.0,8M,Pat sold three red pens,0.5,90.0
SOS,10M,Sue took nine cheap toys,0.5,90.0,4M,Sam found six hot pens,0.5,90.0,8M,Pat gave three green gloves,0.5,-90.0
SOS,3M,Sue found nine cheap socks,0.5,90.0,2M,Mike took two new shoes,0.5,90.0,1M,Pat saw five big hats,0.5,-90.0
SOS,4M,Sue lost two old shoes,0.5,-90.0,10M,Jane saw six hot gloves,0.5,-90.0,8M,Mike gave three big toys,0.5,90.0
SOS,7M,Sue held four hot cards,0.5,90.0,5M,Jill sold nine cheap toys,0.5,90.0,10M,Pat lost eight old socks,0.5,-90.0
SOS,11M,Sue saw eight big socks,0.5,90.0,1M,Jane lost four green shoes,0.5,90.0,5M,Bob sold five small toys,0.5,-90.0
SOS,8M,Sue saw five old hats,0.5,90.0,4M,Lynn took three green pens,0.5,90.0,7M,Mike held nine red shoes,0.5,-90.0
SOS,11M,Sue saw four red gloves,0.5,90.0,2M,Jill found six big cards,0.5,90.0,7M,Pat gave three cheap shoes,0.5,-90.0
SOS,9M,Sue found nine red bags,0.5,90.0,3M,Jill gave five new hats,0.5,90.0,8M,Jane sold two big shoes,0.5,-90.0
SOS,2M,Sue gave ten new pens,0.5,-90.0,5M,Lynn bought six green hats,0.5,-90.0,4M,Jill found two red gloves,0.5,90.0
SOS,7M,Sue took four new bags,0.5,-90.0,2M,Jane lost nine green cards,0.5,-90.0,1M,Pat gave six red socks,0.5,90.0
SOS,9M,Sue bought two new socks,0.5,-90.0,3M,Jane sold six old hats,0.5,-90.0,1M,Bob took nine cheap bags,0.5,90.0
SOS,9M,Sue held six cheap pens,0.5,-90.0,1M,Jane saw nine old bags,0.5,-90.0,5M,Sam lost five hot shoes,0.5,90.0
SOS,7M,Sue sold four small pens,0.5,-90.0,10M,Bob held nine cheap gloves,0.5,-90.0,4M,Jane found ten new cards,0.5,90.0
SOS,5M,Sue took ten new socks,0.5,90.0,3M,Jane found nine green cards,0.5,90.0,4M,Mike sold two big toys,0.5,-90.0
SOS,4M,Sue saw ten hot cards,0.5,90.0,2M,Bob found eight new shoes,0.5,90.0,5M,Sam lost five small toys,0.5,-90.0
SOS,5M,Sue gave six green socks,0.5,-90.0,1M,Mike bought ten red hats,0.5,-90.0,4M,Jane found three hot toys,0.5,90.0
SOS,11M,Sue sold four new pens,0.5,90.0,8M,Jane took ten red toys,0.5,90.0,10M,Pat lost two old gloves,0.5,-90.0
SOS,11M,Sue held eight green hats,0.5,90.0,2M,Mike lost six cheap gloves,0.5,90.0,5M,Lynn sold four hot toys,0.5,-90.0
SOS,3M,Sue sold five new cards,0.5,90.0,4M,Jill gave six green toys,0.5,90.0,10M,Sam saw eight red shoes,0.5,-90.0
SOS,1M,Sue gave six old pens,0.5,-90.0,11M,Lynn took two cheap hats,0.5,-90.0,9M,Bob found five new cards,0.5,90.0
SOS,11M,Sue gave ten green hats,0.5,90.0,7M,Sam held five small socks,0.5,90.0,4M,Pat sold eight big pens,0.5,-90.0
SOS,5M,Sue saw two old pens,0.5,90.0,7M,Mike gave eight green shoes,0.5,90.0,8M,Pat lost four big bags,0.5,-90.0
SOS,5M,Sue found six old bags,0.5,-90.0,4M,Mike saw two red socks,0.5,-90.0,11M,Lynn bought nine big shoes,0.5,90.0
SOS,8M,Sue lost ten big bags,0.5,90.0,2M,Jane found eight green gloves,0.5,90.0,9M,Mike held six small socks,0.5,-90.0
SOS,3M,Sue lost nine green pens,0.5,-90.0,5M,Bob took six small shoes,0.5,-90.0,7M,Pat found three cheap toys,0.5,90.0
SOS,2M,Sue bought four new pens,0.5,-90.0,3M,Sam took two small cards,0.5,-90.0,11M,Lynn found ten green toys,0.5,90.0
SOS,1M,Sue bought nine red gloves,0.5,-90.0,4M,Bob found eight big hats,0.5,-90.0,9M,Pat gave ten green bags,0.5,90.0
SOS,2M,Sue lost two cheap socks,0.5,-90.0,11M,Bob saw nine hot toys,0.5,-90.0,1M,Mike gave six big gloves,0.5,90.0
SOS,8M,Sue bought five red cards,0.5,90.0,10M,Lynn held three hot shoes,0.5,90.0,9M,Sam saw four old toys,0.5,-90.0
SOS,11M,Sue found ten old bags,0.5,90.0,7M,Sam saw nine small pens,0.5,90.0,4M,Lynn held five green gloves,0.5,-90.0
SOS,7M,Sue found five hot bags,0.5,90.0,4M,Jill lost ten red gloves,0.5,90.0,3M,Sam took two old toys,0.5,-90.0
SOS,2M,Sue bought five big shoes,0.5,-90.0,4M,Mike sold three old pens,0.5,-90.0,1M,Jill found four small hats,0.5,90.0
SOS,3M,Sue found six new toys,0.5,90.0,5M,Jane bought three old shoes,0.5,90.0,8M,Sam took five cheap gloves,0.5,-90.0
SOS,1M,Sue found three red bags,0.5,-90.0,7M,Pat gave two small socks,0.5,-90.0,9M,Jill held ten green toys,0.5,90.0
SOS,4M,Sue gave four red socks,0.5,-90.0,2M,Mike held three new pens,0.5,-90.0,11M,Bob lost six hot gloves,0.5,90.0
SOS,3M,Sue gave three small shoes,0.5,-90.0,10M,Mike saw six new gloves,0.5,-90.0,7M,Sam found five hot bags,0.5,90.0
SOS,4M,Sue bought five hot socks,0.5,90.0,1M,Mike took three green bags,0.5,90.0,11M,Jill saw six cheap cards,0.5,-90.0
SOS,11M,Sue took eight green toys,0.5,90.0,1M,Bob gave three small shoes,0.5,90.0,8M,Sam bought ten cheap cards,0.5,-90.0
SOS,10M,Sue took three new toys,0.5,-90.0,7M,Lynn held ten small socks,0.5,-90.0,9M,Jane lost four green cards,0.5,90.0
SOS,4M,Sue held three cheap shoes,0.5,-90.0,5M,Lynn sold four green socks,0.5,-90.0,2M,Jill gave two red pens,0.5,90.0
SOS,3M,Sue bought nine old bags,0.5,90.0,5M,Jill saw two red socks,0.5,90.0,10M,Pat took six big gloves,0.5,-90.0
SOS,4M,Sue found nine new toys,0.5,-90.0,10M,Jill lost six cheap hats,0.5,-90.0,11M,Lynn held four green bags,0.5,90.0
SOS,2M,Sue took two new cards,0.5,-90.0,8M,Bob sold nine hot socks,0.5,-90.0,10M,Sam gave three small gloves,0.5,90.0
SOS,4M,Sue sold six big gloves,0.5,90.0,5M,Bob lost ten small cards,0.5,90.0,3M,Jane saw four old shoes,0.5,-90.0
SOS,10M,Sue bought two old toys,0.5,-90.0,11M,Pat lost six red hats,0.5,-90.0,7M,Jane sold ten big socks,0.5,90.0
SOS,11M,Sue sold two green socks,0.5,90.0,9M,Mike took six old bags,0.5,90.0,4M,Lynn saw five small gloves,0.5,-90.0
SOS,8M,Sue lost two cheap gloves,0.5,90.0,1M,Lynn sold eight new toys,0.5,90.0,11M,Mike found six old shoes,0.5,-90.0
SOS,9M,Sue held nine new pens,0.5,90.0,10M,Sam lost five old socks,0.5,90.0,8M,Pat bought two big hats,0.5,-90.0
SOS,5M,Sue took eight green toys,0.5,-90.0,4M,Sam found two hot hats,0.5,-90.0,3M,Bob bought three red shoes,0.5,90.0
SOS,9M,Sue saw six cheap gloves,0.5,90.0,7M,Pat found four new socks,0.5,90.0,4M,Jill sold ten big toys,0.5,-90.0
SOS,2M,Sue lost six big bags,0.5,-90.0,8M,Jill gave five green shoes,0.5,-90.0,1M,Jane found eight old toys,0.5,90.0
SOS,9M,Sue sold five cheap socks,0.5,-90.0,7M,Lynn gave three green gloves,0.5,-90.0,1M,Sam bought nine old hats,0.5,90.0
SOS,9M,Sue bought two cheap pens,0.5,-90.0,5M,Lynn found six hot bags,0.5,-90.0,1M,Jill held three green gloves,0.5,90.0
SOS,3M,Sue found nine new gloves,0.5,90.0,4M,Lynn sold two small socks,0.5,90.0,9M,Jill took ten green bags,0.5,-90.0
SOS,4M,Sue bought four old cards,0.5,90.0,3M,Jill lost five new hats,0.5,90.0,8M,Jane held eight small pens,0.5,-90.0
SOS,1M,Sue sold ten green gloves,0.5,90.0,8M,Bob took three cheap hats,0.5,90.0,3M,Pat lost nine old shoes,0.5,-90.0
SOS,8M,Sue took nine new socks,0.5,-90.0,1M,Bob gave six cheap shoes,0.5,-90.0,10M,Jane sold three small bags,0.5,90.0
SOS,7M,Sue saw three green pens,0.5,-90.0,3M,Jill took eight old bags,0.5,-90.0,1M,Bob lost six red gloves,0.5,90.0
SOS,5M,Sue gave eight cheap bags,0.5,90.0,9M,Bob bought nine old pens,0.5,90.0,1M,Sam saw five red gloves,0.5,-90.0
SOS,10M,Sue sold nine new cards,4.0,-90.0,11M,Pat lost three hot bags,4.0,-90.0,4M,Mike took six small socks,4.0,90.0
SOS,7M,Sue found five hot hats,4.0,-90.0,5M,Sam saw two small bags,4.0,-90.0,8M,Jane held nine big socks,4.0,90.0
SOS,5M,Sue sold four new hats,4.0,-90.0,10M,Pat gave two cheap gloves,4.0,-90.0,3M,Bob took five small pens,4.0,90.0
SOS,9M,Sue lost nine hot socks,4.0,90.0,7M,Lynn took five cheap bags,4.0,90.0,10M,Mike gave ten green cards,4.0,-90.0
SOS,1M,Sue gave nine hot gloves,4.0,-90.0,2M,Bob lost four big socks,4.0,-90.0,5M,Lynn sold six red bags,4.0,90.0
SOS,4M,Sue saw five red hats,4.0,-90.0,7M,Mike found ten green pens,4.0,-90.0,10M,Jill sold four hot gloves,4.0,90.0
SOS,10M,Sue held four red gloves,4.0,-90.0,1M,Pat lost three old shoes,4.0,-90.0,2M,Jill bought six new socks,4.0,90.0
SOS,2M,Sue lost four old socks,4.0,90.0,1M,Mike held three new hats,4.0,90.0,9M,Lynn found two green bags,4.0,-90.0
SOS,5M,Sue lost ten hot pens,4.0,-90.0,8M,Jane gave three old socks,4.0,-90.0,9M,Jill sold two cheap hats,4.0,90.0
SOS,7M,Sue bought two small toys,4.0,90.0,4M,Sam held nine old cards,4.0,90.0,10M,Pat lost six cheap bags,4.0,-90.0
SOS,9M,Sue saw nine hot shoes,4.0,90.0,8M,Bob sold two small socks,4.0,90.0,3M,Sam held three green hats,4.0,-90.0
SOS,9M,Sue took nine hot socks,4.0,90.0,1M,Sam sold four cheap bags,4.0,90.0,7M,Mike held three big cards,4.0,-90.0
SOS,3M,Sue saw four small bags,4.0,-90.0,10M,Pat bought five big hats,4.0,-90.0,9M,Sam lost three old socks,4.0,90.0
SOS,1M,Sue found ten small pens,4.0,90.0,8M,Jill took eight red socks,4.0,90.0,7M,Sam gave nine green shoes,4.0,-90.0
SOS,1M,Sue gave six big socks,4.0,90.0,4M,Bob lost three hot shoes,4.0,90.0,5M,Pat bought nine red gloves,4.0,-90.0
SOS,1M,Sue sold five big socks,4.0,-90.0,7M,Lynn gave two cheap shoes,4.0,-90.0,2M,Bob lost four red bags,4.0,90.0
SOS,3M,Sue lost nine red gloves,4.0,90.0,8M,Lynn held four cheap shoes,4.0,90.0,5M,Bob found six green toys,4.0,-90.0
SOS,2M,Sue gave four cheap toys,4.0,-90.0,4M,Mike sold five old bags,4.0,-90.0,11M,Sam saw ten small cards,4.0,90.0
SOS,8M,Sue took four small shoes,4.0,-90.0,9M,Lynn bought five red toys,4.0,-90.0,1M,Jill sold two old gloves,4.0,90.0
SOS,2M,Sue bought four hot socks,4.0,90.0,1M,Bob took eight big cards,4.0,90.0,11M,Mike gave three red gloves,4.0,-90.0
SOS,4M,Sue bought five red cards,4.0,-90.0,1M,Sam found eight old socks,4.0,-90.0,3M,Mike saw ten cheap shoes,4.0,90.0
SOS,8M,Sue held nine cheap shoes,4.0,90.0,5M,Lynn took eight old cards,4.0,90.0,4M,Sam gave three hot hats,4.0,-90.0
SOS,10M,Sue gave three green bags,4.0,90.0,4M,Pat held four new cards,4.0,90.0,7M,Jill saw ten small shoes,4.0,-90.0
SOS,4M,Sue held ten green hats,4.0,90.0,7M,Mike lost four small shoes,4.0,90.0,10M,Jill sold two red cards,4.0,-90.0
SOS,9M,Sue held three cheap pens,4.0,90.0,11M,Mike found nine small hats,4.0,90.0,3M,Jane sold four red socks,4.0,-90.0
SOS,9M,Sue sold ten green bags,4.0,-90.0,4M,Jill gave eight cheap hats,4.0,-90.0,8M,Jane found nine old socks,4.0,90.0
SOS,9M,Sue lost two hot pens,4.0,-90.0,1M,Jill sold three green bags,4.0,-90.0,11M,Sam bought eight red gloves,4.0,90.0
SOS,10M,Sue sold eight cheap gloves,4.0,90.0,5M,Pat bought four red pens,4.0,90.0,8M,Jane lost six new hats,4.0,-90.0
SOS,10M,Sue took three old toys,4.0,-90.0,3M,Jane sold four cheap gloves,4.0,-90.0,8M,Sam held nine big hats,4.0,90.0
SOS,1M,Sue bought three big pens,4.0,90.0,8M,Lynn sold eight new toys,4.0,90.0,11M,Pat took two old gloves,4.0,-90.0
SOS,2M,Sue sold ten new pens,4.0,90.0,1M,Mike lost nine big cards,4.0,90.0,5M,Jill bought two green hats,4.0,-90.0
SOS,4M,Sue took five cheap socks,4.0,90.0,11M,Sam found six big shoes,4.0,90.0,8M,Jill bought four old bags,4.0,-90.0
SOS,2M,Sue bought six new shoes,4.0,-90.0,7M,Lynn lost five small socks,4.0,-90.0,5M,Bob found four hot toys,4.0,90.0
SOS,10M,Sue gave eight big cards,4.0,90.0,2M,Lynn bought five hot toys,4.0,90.0,8M,Pat held ten old gloves,4.0,-90.0
SOS,8M,Sue bought three big cards,4.0,90.0,4M,Mike took five cheap socks,4.0,90.0,1M,Jane lost nine small shoes,4.0,-90.0
SOS,9M,Sue held nine hot pens,4.0,-90.0,2M,Sam sold five new shoes,4.0,-90.0,5M,Pat lost ten red socks,4.0,90.0
SOS,4M,Sue sold five new hats,4.0,-90.0,9M,Bob took four old shoes,4.0,-90.0,8M,Jill saw six big bags,4.0,90.0
SOS,1M,Sue lost eight small pens,4.0,-90.0,8M,Jane bought ten old hats,4.0,-90.0,3M,Mike sold four new shoes,4.0,90.0
SOS,11M,Sue sold six old cards,4.0,-90.0,1M,Jill held two new gloves,4.0,-90.0,9M,Pat lost nine green shoes,4.0,90.0
SOS,8M,Sue gave five green gloves,4.0,90.0,9M,Lynn sold ten cheap toys,4.0,90.0,5M,Bob took eight red pens,4.0,-90.0
SOS,3M,Sue saw six big pens,4.0,-90.0,1M,Bob bought five green bags,4.0,-90.0,9M,Lynn held three hot toys,4.0,90.0
SOS,10M,Sue took three green bags,4.0,-90.0,3M,Lynn saw five old gloves,4.0,-90.0,7M,Sam found two big pens,4.0,90.0
SOS,9M,Sue held five hot bags,4.0,90.0,2M,Pat saw three old shoes,4.0,90.0,8M,Jill bought two new gloves,4.0,-90.0
SOS,8M,Sue gave ten red bags,4.0,-90.0,5M,Jane held six green shoes,4.0,-90.0,4M,Lynn found four small pens,4.0,90.0
SOS,2M,Sue lost three big shoes,4.0,-90.0,9M,Bob took four cheap hats,4.0,-90.0,1M,Jill sold two hot pens,4.0,90.0
SOS,11M,Sue held ten red gloves,4.0,90.0,1M,Mike took five hot cards,4.0,90.0,5M,Bob found nine cheap pens,4.0,-90.0
SOS,4M,Sue took nine new bags,4.0,90.0,7M,Mike lost two hot hats,4.0,90.0,2M,Sam bought four small cards,4.0,-90.0
SOS,4M,Sue found eight small pens,4.0,90.0,1M,Lynn held five red cards,4.0,90.0,9M,Sam bought six hot shoes,4.0,-90.0
SOS,1M,Sue sold eight old toys,4.0,-90.0,4M,Jane took three hot shoes,4.0,-90.0,5M,Sam lost ten cheap cards,4.0,90.0
SOS,3M,Sue bought two green hats,4.0,-90.0,4M,Jane took eight cheap toys,4.0,-90.0,5M,Lynn gave nine new pens,4.0,90.0
SOS,8M,Sue gave eight big toys,4.0,90.0,11M,Pat bought ten new bags,4.0,90.0,3M,Mike saw six cheap shoes,4.0,-90.0
SOS,3M,Sue sold ten cheap pens,4.0,90.0,2M,Sam gave two big hats,4.0,90.0,11M,Jill lost six small shoes,4.0,-90.0
SOS,2M,Sue bought eight big bags,4.0,90.0,3M,Sam held six cheap shoes,4.0,90.0,11M,Jill took five red hats,4.0,-90.0
SOS,3M,Sue sold six big shoes,4.0,90.0,7M,Lynn bought nine cheap gloves,4.0,90.0,9M,Jill gave eight new socks,4.0,-90.0
SOS,3M,Sue saw ten cheap cards,4.0,-90.0,2M,Mike lost nine old socks,4.0,-90.0,7M,Sam held eight hot hats,4.0,90.0
SOS,3M,Sue sold four hot bags,4.0,90.0,2M,Lynn took eight cheap pens,4.0,90.0,11M,Pat bought six red toys,4.0,-90.0
SOS,8M,Sue held four red toys,4.0,-90.0,5M,Jill lost nine small shoes,4.0,-90.0,9M,Lynn saw ten green bags,4.0,90.0
SOS,9M,Sue saw four cheap gloves,4.0,-90.0,8M,Jill bought six old bags,4.0,-90.0,5M,Lynn sold ten red shoes,4.0,90.0
SOS,1M,Sue sold three red gloves,4.0,90.0,11M,Lynn bought nine big bags,4.0,90.0,5M,Mike gave two old hats,4.0,-90.0
SOS,2M,Sue lost six old shoes,4.0,90.0,10M,Lynn took four big cards,4.0,90.0,11M,Jill bought five green pens,4.0,-90.0
SOS,5M,Sue bought four new toys,4.0,90.0,3M,Bob sold six hot gloves,4.0,90.0,7M,Mike held two red hats,4.0,-90.0
SOS,11M,Sue sold three cheap cards,4.0,90.0,8M,Lynn found ten small bags,4.0,90.0,3M,Pat lost four new pens,4.0,-90.0
SOS,3M,Sue bought nine new shoes,4.0,90.0,5M,Bob took ten red cards,4.0,90.0,2M,Sam found six big gloves,4.0,-90.0
SOS,4M,Sue took two old pens,4.0,90.0,9M,Mike sold six red cards,4.0,90.0,10M,Jane saw four new hats,4.0,-90.0
SOS,11M,Sue took nine small gloves,4.0,-90.0,5M,Bob bought five cheap hats,4.0,-90.0,2M,Jill held six new socks,4.0,90.0
SOS,9M,Sue held two old gloves,4.0,-90.0,4M,Pat lost three hot shoes,4.0,-90.0,1M,Bob sold five cheap pens,4.0,90.0
SOS,3M,Sue held six green socks,4.0,-90.0,5M,Jill took three old cards,4.0,-90.0,1M,Bob sold two new toys,4.0,90.0
SOS,5M,Sue lost nine big pens,4.0,-90.0,9M,Lynn bought ten red hats,4.0,-90.0,8M,Sam took six small toys,4.0,90.0
SOS,2M,Sue lost eight new shoes,4.0,-90.0,7M,Jill held three red cards,4.0,-90.0,1M,Jane gave two hot toys,4.0,90.0
SOS,1M,Sue held eight old pens,4.0,-90.0,9M,Sam found four new gloves,4.0,-90.0,10M,Bob sold five green socks,4.0,90.0
SOS,2M,Sue took three cheap bags,4.0,-90.0,9M,Bob held eight red cards,4.0,-90.0,8M,Jill saw nine new hats,4.0,90.0
SOS,7M,Sue saw nine big bags,4.0,-90.0,3M,Pat held three cheap gloves,4.0,-90.0,10M,Jane found eight new toys,4.0,90.0
SOS,10M,Sue saw two new pens,4.0,90.0,7M,Lynn took five big cards,4.0,90.0,3M,Jane gave nine old bags,4.0,-90.0
SOS,11M,Sue sold six small socks,4.0,90.0,8M,Bob gave nine hot bags,4.0,90.0,9M,Jill bought four red pens,4.0,-90.0
SOS,10M,Sue found four red socks,4.0,-90.0,11M,Mike held three old pens,4.0,-90.0,8M,Sam lost six big hats,4.0,90.0
SOS,2M,Sue gave four big socks,4.0,90.0,10M,Sam sold two hot pens,4.0,90.0,7M,Jane lost six new gloves,4.0,-90.0
SOS,10M,Sue took six hot bags,4.0,90.0,3M,Lynn found eight red socks,4.0,90.0,11M,Pat bought two small hats,4.0,-90.0
SOS,7M,Sue found four small bags,4.0,-90.0,8M,Lynn sold ten new hats,4.0,-90.0,1M,Jill saw nine red shoes,4.0,90.0
SOS,2M,Sue sold eight hot pens,4.0,-90.0,9M,Lynn bought nine new gloves,4.0,-90.0,4M,Pat saw four old socks,4.0,90.0
SOS,9M,Sue held ten green toys,4.0,90.0,5M,Mike gave three red hats,4.0,90.0,2M,Lynn took nine big socks,4.0,-90.0
SOS,3M,Sue gave three green hats,4.0,90.0,8M,Pat held four small bags,4.0,90.0,10M,Mike saw ten hot toys,4.0,-90.0
SOS,9M,Sue sold six cheap toys,4.0,90.0,10M,Pat found five old socks,4.0,90.0,5M,Sam gave ten big cards,4.0,-90.0
SOS,3M,Sue gave five hot hats,4.0,-90.0,11M,Bob took two green cards,4.0,-90.0,7M,Pat sold eight big socks,4.0,90.0
SOS,3M,Sue bought ten green toys,4.0,-90.0,4M,Sam sold eight red hats,4.0,-90.0,1M,Lynn found two hot bags,4.0,90.0
SOS,1M,Sue found two old bags,4.0,-90.0,3M,Bob held three green pens,4.0,-90.0,11M,Sam lost nine big toys,4.0,90.0
